Winner,Year,Wins
Rublev A.,2023,2
Rublev A.,2024,2
Rune H.,2022,3
Rune H.,2023,1
Rusedski G.,2001,1
Rusedski G.,2002,2
Rusedski G.,2003,1
Rusedski G.,2004,1
Rusedski G.,2005,1
Ruud C.,2020,1
Ruud C.,2021,5
Ruud C.,2022,3
Ruud C.,2023,1
Ruud C.,2024,2
Safin M.,2000,7
Safin M.,2001,2
Safin M.,2002,1
Safin M.,2004,3
Safin M.,2005,1
Sampras P.,2000,2
Sampras P.,2002,1
Sanchez D.,2003,1
Sandgren T.,2019,1
Sanguinetti D.,2002,2
Santoro F.,2000,1
Santoro F.,2002,1
Santoro F.,2007,1
Santoro F.,2008,1
Schalken S.,2000,1
Schalken S.,2001,1
Schalken S.,2002,1
Schalken S.,2003,2
Schuettler R.,2001,1
Schuettler R.,2003,2
Schwartzman D.,2016,1
Schwartzman D.,2018,1
Schwartzman D.,2019,1
Schwartzman D.,2021,1
Seppi A.,2011,1
Seppi A.,2012,2
Serra F.,2005,1
Serra F.,2006,1
Seyboth Wild T.,2020,1
Shapovalov D.,2019,1
Shelton B.,2023,1
Shelton B.,2024,1
Simon G.,2007,2
Simon G.,2008,3
Simon G.,2009,1
Simon G.,2010,1
Simon G.,2011,2
Simon G.,2012,1
Simon G.,2013,1
Simon G.,2015,1
Simon G.,2018,2
Sinner J.,2020,1
Sinner J.,2021,4
Sinner J.,2022,1
Sinner J.,2023,4
Sinner J.,2024,6
Sock J.,2015,1
Sock J.,2017,3
Soderling R.,2004,1
Soderling R.,2005,1
Soderling R.,2008,1
Soderling R.,2009,1
Soderling R.,2010,2
Soderling R.,2011,4
Sonego L.,2019,1
Sonego L.,2021,1
Sonego L.,2022,1
Sonego L.,2024,1
Sousa J.,2013,1
Sousa J.,2015,1
Sousa J.,2018,1
Sousa J.,2022,1
Spadea V.,2004,1
Squillari F.,2000,2
Srichaphan P.,2002,2
Srichaphan P.,2003,2
Srichaphan P.,2004,1
Stakhovsky S.,2008,1
Stakhovsky S.,2009,1
Stakhovsky S.,2010,2
Stepanek R.,2006,1
Stepanek R.,2007,1
Stepanek R.,2009,2
Stepanek R.,2011,1
Struff J.L.,2024,1
Sugita Y.,2017,1
Sweeting R.,2011,1
Tabara M.,2001,1
Tabilo A.,2024,2
Thiem D.,2015,3
Thiem D.,2016,4
Thiem D.,2017,1
Thiem D.,2018,3
Thiem D.,2019,5
Thiem D.,2020,1
Thompson J.,2024,1
Tiafoe F.,2018,1
Tiafoe F.,2023,2
Tipsarevic J.,2011,2
Tipsarevic J.,2012,1
Tipsarevic J.,2013,1
Tomic B.,2013,1
Tomic B.,2014,1
Tomic B.,2015,1
Tomic B.,2018,1
Troicki V.,2010,1
Troicki V.,2015,1
Troicki V.,2016,1
Tsitsipas S.,2018,1
Tsitsipas S.,2019,2
Tsitsipas S.,2020,1
Tsitsipas S.,2021,2
Tsitsipas S.,2022,2
Tsitsipas S.,2023,1
Tsitsipas S.,2024,1
Tsitsipas S. ,2019,1
Tsonga J.W.,2008,1
Tsonga J.W.,2009,3
Tsonga J.W.,2011,2
Tsonga J.W.,2012,2
Tsonga J.W.,2013,1
Tsonga J.W.,2014,1
Tsonga J.W.,2015,1
Tsonga J.W.,2017,4
Tsonga J.W.,2019,2
Tursunov D.,2006,1
Tursunov D.,2007,2
Tursunov D.,2008,2
Tursunov D.,2009,1
Tursunov D.,2011,1
Vacek J.,2001,1
Van Rijthoven T.,2022,1
Ventura S.,2004,1
Verdasco F.,2004,1
Verdasco F.,2008,1
Verdasco F.,2009,1
Verdasco F.,2010,2
Verdasco F.,2014,1
Verdasco F.,2016,1
Verkerk M.,2003,1
Verkerk M.,2004,1
Vesely J.,2015,1
Vesely J.,2020,1
Vicente F.,2000,1
Vicente F.,2001,1
Vinciguerra A.,2000,1
Volandri F.,2004,1
Volandri F.,2006,1
Wawrinka S.,2006,1
Wawrinka S.,2010,1
Wawrinka S.,2011,1
Wawrinka S.,2013,1
Wawrinka S.,2014,3
Wawrinka S.,2015,4
Wawrinka S.,2016,4
Wawrinka S.,2017,1
Wessels P.,2000,1
Wu Y.,2023,1
Youzhny M.,2002,1
Youzhny M.,2004,1
Youzhny M.,2007,1
Youzhny M.,2008,1
Youzhny M.,2009,1
Youzhny M.,2010,2
Youzhny M.,2012,1
Youzhny M.,2013,2
Zabaleta M.,2003,1
Zabaleta M.,2004,1
Zeballos H.,2013,1
Zverev A.,2016,1
Zverev A.,2017,5
Zverev A.,2018,4
Zverev A.,2019,1
Zverev A.,2020,2
Zverev A.,2021,5
Zverev A.,2023,2
Zverev A.,2024,1
Zverev M.,2018,1
